avg_pass,check_same_postion,check_diff_rank,avg_pass_position,mean_degree,between_P1,avg_pass_percentage_P1,p1,p2,target
2.5,0,0,1.0,7.642857142857143,0.3910774410774411,0.4683333333333333,11,10,3
0.5,0,0,1.0,7.642857142857143,0.3910774410774411,0.4683333333333333,11,21,1
0.833333333333,0,0,1.0,7.642857142857143,0.3910774410774411,0.4683333333333333,11,22,1
0.5,0,0,0.16666666666666666,7.642857142857143,0.3910774410774411,0.4683333333333333,11,3,1
1.16666666667,0,0,0.875,7.642857142857143,0.3910774410774411,0.4683333333333333,11,4,2
0.666666666667,0,0,0.9,7.642857142857143,0.3910774410774411,0.4683333333333333,11,7,2
3.33333333333,0,0,0.2857142857142857,7.642857142857143,2.5658790283790283,0.6816666666666668,10,11,4
0.166666666667,0,0,0.06666666666666667,7.642857142857143,2.5658790283790283,0.6816666666666668,10,24,1
1.33333333333,0,0,0.2222222222222222,7.642857142857143,2.5658790283790283,0.6816666666666668,10,26,3
1.66666666667,1,0,0.05263157894736842,7.642857142857143,2.5658790283790283,0.6816666666666668,10,21,1
3.0,1,0,0.14285714285714285,7.642857142857143,2.5658790283790283,0.6816666666666668,10,22,2
1.5,0,0,0.22727272727272727,7.642857142857143,2.5658790283790283,0.6816666666666668,10,19,1
4.83333333333,0,0,0.4,7.642857142857143,2.5658790283790283,0.6816666666666668,10,3,8
4.33333333333,0,0,0.5,7.642857142857143,2.5658790283790283,0.6816666666666668,10,2,6
6.0,1,0,0.23255813953488372,7.642857142857143,2.5658790283790283,0.6816666666666668,10,4,7
1.0,1,0,0.26666666666666666,7.642857142857143,2.5658790283790283,0.6816666666666668,10,7,2
1.16666666667,0,0,0.021739130434782608,7.642857142857143,0.11978114478114478,0.5,13,24,1
0.666666666667,0,0,0.0425531914893617,7.642857142857143,0.11978114478114478,0.5,13,26,1
0.333333333333,0,0,0.020833333333333332,7.642857142857143,0.11978114478114478,0.5,13,21,1
1.16666666667,0,0,0.1320754716981132,7.642857142857143,0.11978114478114478,0.5,13,3,5
0.166666666667,0,0,0.037037037037037035,7.642857142857143,0.11978114478114478,0.5,13,7,1
0.666666666667,0,0,0.05454545454545454,7.642857142857143,0.11978114478114478,0.5,13,8,1
4.16666666667,0,0,0.3728813559322034,7.642857142857143,3.2857864357864357,0.9266666666666666,21,24,4
5.5,1,0,0.27692307692307694,7.642857142857143,3.2857864357864357,0.9266666666666666,21,10,6
6.16666666667,0,0,0.4189189189189189,7.642857142857143,3.2857864357864357,0.9266666666666666,21,26,9
3.16666666667,1,0,0.2631578947368421,7.642857142857143,3.2857864357864357,0.9266666666666666,21,22,2
7.33333333333,0,0,0.47058823529411764,7.642857142857143,3.2857864357864357,0.9266666666666666,21,3,9
3.5,0,0,0.4943820224719101,7.642857142857143,3.2857864357864357,0.9266666666666666,21,2,4
9.83333333333,1,0,0.3235294117647059,7.642857142857143,3.2857864357864357,0.9266666666666666,21,4,13
2.0,1,0,0.34285714285714286,7.642857142857143,3.2857864357864357,0.9266666666666666,21,7,3
2.5,1,0,0.35514018691588783,7.642857142857143,3.2857864357864357,0.9266666666666666,21,8,2
1.5,0,0,0.05555555555555555,7.642857142857143,1.2065536315536314,0.7716666666666667,22,11,1
4.16666666667,1,0,0.375,7.642857142857143,1.2065536315536314,0.7716666666666667,22,10,4
2.83333333333,0,0,0.40350877192982454,7.642857142857143,1.2065536315536314,0.7716666666666667,22,3,2
4.5,0,0,0.43333333333333335,7.642857142857143,1.2065536315536314,0.7716666666666667,22,2,6
3.66666666667,1,0,0.376,7.642857142857143,1.2065536315536314,0.7716666666666667,22,4,5
0.833333333333,1,0,0.3953488372093023,7.642857142857143,1.2065536315536314,0.7716666666666667,22,7,4
1.16666666667,0,0,0.42105263157894735,7.642857142857143,1.2065536315536314,0.7716666666666667,22,24,4
0.833333333333,0,0,0.014925373134328358,7.642857142857143,1.1574134199134198,0.64,19,2,1
1.16666666667,0,0,0.07407407407407407,7.642857142857143,1.1574134199134198,0.64,19,21,1
0.166666666667,0,0,0.022058823529411766,7.642857142857143,0.21759259259259256,0.37166666666666665,18,24,1
0.333333333333,1,0,0.0072992700729927005,7.642857142857143,0.21759259259259256,0.37166666666666665,18,19,1
0.833333333333,0,0,0.03597122302158273,7.642857142857143,0.21759259259259256,0.37166666666666665,18,3,2
0.166666666667,0,0,0.04285714285714286,7.642857142857143,0.21759259259259256,0.37166666666666665,18,26,1
4.16666666667,1,0,0.08496732026143791,7.642857142857143,1.207545695045695,0.8133333333333332,26,24,13
2.0,0,0,0.006493506493506494,7.642857142857143,1.207545695045695,0.8133333333333332,26,10,1
0.833333333333,0,0,0.01282051282051282,7.642857142857143,1.207545695045695,0.8133333333333332,26,13,2
8.16666666667,0,0,0.06060606060606061,7.642857142857143,1.207545695045695,0.8133333333333332,26,21,9
1.16666666667,0,0,0.06626506024096386,7.642857142857143,1.207545695045695,0.8133333333333332,26,22,1
6.16666666667,1,0,0.11560693641618497,7.642857142857143,1.207545695045695,0.8133333333333332,26,3,7
6.83333333333,0,0,0.10497237569060773,7.642857142857143,1.207545695045695,0.8133333333333332,26,4,8
1.83333333333,0,0,0.12903225806451613,7.642857142857143,1.207545695045695,0.8133333333333332,26,7,5
0.833333333333,0,0,0.015873015873015872,7.642857142857143,2.1587301587301586,0.7716666666666666,3,11,3
7.16666666667,0,0,0.18719211822660098,7.642857142857143,2.1587301587301586,0.7716666666666666,3,10,14
5.33333333333,1,0,0.13679245283018868,7.642857142857143,2.1587301587301586,0.7716666666666666,3,26,9
5.16666666667,0,0,0.19815668202764977,7.642857142857143,2.1587301587301586,0.7716666666666666,3,21,5
1.66666666667,0,0,0.2018348623853211,7.642857142857143,2.1587301587301586,0.7716666666666666,3,22,1
0.5,0,0,0.0182648401826484,7.642857142857143,2.1587301587301586,0.7716666666666666,3,18,1
